Model,RCP,dQ,dT
FGOALS-g2,rcp45,5.8591010756237072,1.88581
FGOALS-g2,rcp26,2.9652691693063726,2.00549
FGOALS-g2,rcp85,12.662997594770253,2.70506
FIO-ESM,rcp45,7.0322175422942612,0.871944
FIO-ESM,rcp60,7.0002546960972856,0.917295
FIO-ESM,rcp26,3.8012069364365964,-0.056983
FIO-ESM,rcp85,11.465692521697534,2.22239
MIROC-ESM,rcp45,19.011543384816697,4.14075
MIROC-ESM,rcp60,17.222378460158371,3.39561
MIROC-ESM,rcp26,16.835238521023378,3.57145
MIROC-ESM,rcp85,24.360863001138423,5.07966
CanESM2,rcp45,12.306253303298508,4.23778
CanESM2,rcp26,12.628452763379162,3.91973
CanESM2,rcp85,13.385966187028853,5.23649
MPI-ESM-MR,rcp45,16.149046268582534,2.36648
MPI-ESM-MR,rcp26,9.2901209574851151,2.04719
MPI-ESM-MR,rcp85,20.696068647754728,3.47224
CSIRO-Mk3-6-0,rcp45,10.019541414909705,1.85126
CSIRO-Mk3-6-0,rcp60,5.440746210523173,1.40657
CSIRO-Mk3-6-0,rcp26,9.6688624777417242,1.64998
CSIRO-Mk3-6-0,rcp85,15.148437262573268,2.46226
CESM1-BGC,rcp45,4.7634515900146779,2.29084
CESM1-BGC,rcp85,6.6907280822931403,3.42999
inmcm4,rcp45,-4.5146314080098726,0.968109
inmcm4,rcp85,4.6542245900212054,1.99753
BNU-ESM,rcp45,16.676917054909811,3.73505
BNU-ESM,rcp26,17.274720987067681,2.96828
BNU-ESM,rcp85,18.547831198564424,4.81469
IPSL-CM5B-LR,rcp45,4.2826008315049569,2.42716
IPSL-CM5B-LR,rcp85,16.961318673831926,3.34057
GFDL-ESM2G,rcp45,18.374933691814089,1.98348
bcc-csm1-1-m,rcp45,10.943917840036143,2.14748
bcc-csm1-1-m,rcp60,17.451372074739211,2.33052
bcc-csm1-1-m,rcp26,11.220088646065275,1.86684
bcc-csm1-1-m,rcp85,11.816111360386582,2.75953
GFDL-ESM2M,rcp45,3.4607789499496278,2.15066
CCSM4,rcp45,4.2193486970307337,2.53227
CCSM4,rcp85,5.5469767646166845,3.56183
NorESM1-M,rcp45,3.8134757915656792,3.37479
NorESM1-M,rcp60,1.5327655725853262,2.25451
NorESM1-M,rcp26,8.7614256426296944,2.62619
NorESM1-M,rcp85,1.5883518821026898,3.42266
CESM1-WACCM,rcp45,3.5999782545973247,2.15479
CESM1-WACCM,rcp85,5.7121168377523457,3.28936
IPSL-CM5A-MR,rcp45,7.4042665285933174,2.49633
IPSL-CM5A-MR,rcp60,10.687101699918045,2.39022
IPSL-CM5A-MR,rcp26,1.3818309615580393,1.95656
IPSL-CM5A-MR,rcp85,11.815294595316917,3.46433
IPSL-CM5A-LR,rcp45,17.520868297515825,2.89582
IPSL-CM5A-LR,rcp60,21.799547979473633,2.86294
IPSL-CM5A-LR,rcp26,13.014576094786555,2.4301
IPSL-CM5A-LR,rcp85,23.830371725221578,3.82058
GFDL-CM3,rcp45,2.045575029583957,5.76727
MIROC-ESM-CHEM,rcp45,15.212026478114836,3.84395
MIROC-ESM-CHEM,rcp60,7.2438875550038473,3.56475
MIROC-ESM-CHEM,rcp26,5.6269109755245239,3.57996
MIROC-ESM-CHEM,rcp85,15.698203227815011,4.79399
NorESM1-ME,rcp45,5.8024081488292856,2.67421
NorESM1-ME,rcp85,16.461900762513835,6.84442
MIROC5,rcp45,6.6304476926295708,3.31172
MIROC5,rcp60,1.1903792356616538,2.93755
MIROC5,rcp26,5.7601898467613877,2.8891
MIROC5,rcp85,11.245942826454947,4.48325
MRI-CGCM3,rcp45,7.3931462287797789,1.91584
MRI-CGCM3,rcp60,10.592406934647292,1.80005
MRI-CGCM3,rcp26,6.5287437668654302,1.44676
MRI-CGCM3,rcp85,16.874584231491529,2.6288
MPI-ESM-LR,rcp45,8.4248329630951311,2.8956
MPI-ESM-LR,rcp26,6.5930629048874589,2.27281
MPI-ESM-LR,rcp85,15.580764470684571,3.50587
bcc-csm1-1,rcp45,14.138086508121983,3.0627
bcc-csm1-1,rcp26,14.520773612005344,1.99605
bcc-csm1-1,rcp85,24.51379271733607,5.10099
CESM1-CAM5,rcp45,10.589763508043127,3.1247
CESM1-CAM5,rcp85,13.793706863736732,4.0485
